alignment_deviation,body_visibility,forward_head_posture,frame_idx,frame_name,head_tilt_angle,knee_angle,left_shoulder_elev,lower_body_visible,neck_flexion,right_shoulder_elev,shoulder_symmetry,source_video,stance_stability,task_label,timestamp_sec,trunk_flexion,upper_body_visible,weight_shift_offset,wrist_deviation_angle
20.19,2.0,128.83,,yt01_003900.jpg,128.83,96.97,115.22,True,169.68,97.91,66.9,yt01,0.7,Neutral Standing,,151.2,True,10.94,111.74
12.12,2.0,48.94,,yt02_000150.jpg,48.94,67.73,112.61,True,158.41,106.17,16.65,yt02,0.7,Neutral Standing,,138.83,True,1.11,56.05
11.7,2.0,50.8,,yt02_000200.jpg,50.8,32.89,80.45,True,166.27,88.1,9.44,yt02,0.7,Neutral Standing,,146.64,True,3.77,42.03
10.75,2.0,41.62,,yt02_000250.jpg,41.62,75.9,112.39,True,150.35,110.2,4.85,yt02,0.7,Neutral Standing,,137.67,True,0.91,39.36
10.84,2.0,2.83,,yt02_000300.jpg,2.83,26.79,128.66,True,85.51,137.91,0.86,yt02,0.7,Neutral Standing,,155.26,True,3.43,12.56
10.19,2.0,11.7,,yt02_000350.jpg,11.7,164.46,123.02,True,135.61,83.61,16.14,yt02,0.7,Neutral Standing,,131.16,True,1.53,19.7
11.17,2.0,36.78,,yt02_000400.jpg,36.78,169.23,110.0,True,78.56,99.97,6.45,yt02,0.7,Neutral Standing,,122.87,True,0.71,33.04
12.53,2.0,12.42,,yt02_000450.jpg,12.42,178.48,117.21,True,119.41,115.24,3.91,yt02,0.7,Neutral Standing,,126.05,True,1.33,21.28
10.0,2.0,1.76,,yt02_000500.jpg,1.76,171.95,46.14,True,167.48,10.15,1.0,yt02,0.7,Neutral Standing,,120.35,True,0.41,37.51
11.55,2.0,51.48,,yt02_000600.jpg,51.48,35.79,138.76,True,163.72,138.75,24.75,yt02,0.7,Neutral Standing,,167.86,True,7.35,12.78
11.1,2.0,49.29,,yt02_000650.jpg,49.29,59.74,101.41,True,157.44,95.21,24.12,yt02,0.7,Neutral Standing,,151.32,True,4.84,56.25
12.1,2.0,60.74,,yt02_000700.jpg,60.74,98.86,76.72,True,168.47,78.06,14.5,yt02,0.7,Neutral Standing,,140.02,True,2.85,63.32
11.12,2.0,55.18,,yt02_002200.jpg,55.18,103.65,117.88,True,167.39,115.82,20.45,yt02,0.7,Neutral Standing,,139.67,True,1.25,58.75
11.23,2.0,52.16,,yt02_002250.jpg,52.16,62.92,91.99,True,172.65,102.99,8.99,yt02,0.7,Neutral Standing,,150.43,True,4.38,59.81
11.41,2.0,48.72,,yt02_002300.jpg,48.72,127.6,110.45,True,149.21,115.87,5.83,yt02,0.7,Neutral Standing,,138.26,True,1.27,28.14
10.13,2.0,0.61,,yt02_002350.jpg,0.61,157.58,114.22,True,74.26,136.19,7.37,yt02,0.7,Neutral Standing,,139.71,True,0.96,25.73
9.56,2.0,5.5,,yt02_002400.jpg,5.5,165.23,98.05,True,156.2,70.2,6.08,yt02,0.7,Neutral Standing,,124.61,True,0.46,17.12
10.59,2.0,5.22,,yt02_002450.jpg,5.22,166.48,126.5,True,124.95,109.76,2.02,yt02,0.7,Neutral Standing,,121.33,True,0.78,41.12
10.59,2.0,23.2,,yt02_002500.jpg,23.2,165.07,115.49,True,95.82,114.34,7.8,yt02,0.7,Neutral Standing,,121.21,True,0.87,33.16
10.85,2.0,32.26,,yt02_002550.jpg,32.26,164.48,108.24,True,88.31,111.7,7.98,yt02,0.7,Neutral Standing,,120.18,True,1.06,35.86
10.67,2.0,22.16,,yt02_002600.jpg,22.16,161.99,121.36,True,96.3,109.95,7.25,yt02,0.7,Neutral Standing,,122.2,True,0.65,34.62
11.68,2.0,22.19,,yt02_002650.jpg,22.19,176.21,123.88,True,105.78,108.22,3.5,yt02,0.7,Neutral Standing,,128.16,True,1.58,45.45
11.93,2.0,12.65,,yt02_002700.jpg,12.65,168.38,105.73,True,108.02,106.95,1.43,yt02,0.7,Neutral Standing,,129.1,True,1.28,48.31
12.09,2.0,10.68,,yt02_002750.jpg,10.68,172.9,107.39,True,108.87,109.13,3.0,yt02,0.7,Neutral Standing,,127.86,True,1.04,45.99
12.59,2.0,7.83,,yt02_002800.jpg,7.83,179.08,97.92,True,169.65,53.95,12.46,yt02,0.7,Neutral Standing,,122.18,True,1.19,3.0
11.65,2.0,14.77,,yt02_002850.jpg,14.77,170.84,76.93,True,177.53,26.35,12.39,yt02,0.7,Neutral Standing,,120.38,True,0.83,12.9
11.65,2.0,14.65,,yt02_002900.jpg,14.65,170.43,76.93,True,177.33,26.31,12.24,yt02,0.7,Neutral Standing,,120.38,True,0.74,12.83
11.91,2.0,14.89,,yt02_002950.jpg,14.89,171.04,82.22,True,169.34,26.56,14.11,yt02,0.7,Neutral Standing,,121.48,True,1.3,18.07
9.85,2.0,56.65,,yt02_003000.jpg,56.65,166.91,106.94,True,175.98,137.32,23.42,yt02,0.7,Neutral Standing,,149.9,True,4.69,23.76
10.15,2.0,55.59,,yt02_003050.jpg,55.59,160.31,130.49,True,169.6,131.75,24.15,yt02,0.7,Neutral Standing,,172.35,True,11.06,30.41
9.94,2.0,56.22,,yt02_003100.jpg,56.22,152.23,132.45,True,169.88,138.11,27.55,yt02,0.7,Neutral Standing,,171.59,True,10.99,33.15
9.91,2.0,48.57,,yt02_003150.jpg,48.57,137.81,129.47,True,175.17,130.64,21.8,yt02,0.7,Neutral Standing,,171.7,True,10.92,31.01
9.88,2.0,55.72,,yt02_003200.jpg,55.72,155.11,159.75,True,144.61,132.55,10.25,yt02,0.7,Neutral Standing,,149.02,True,5.14,25.48
11.27,2.0,40.62,,yt02_003250.jpg,40.62,62.71,133.66,True,162.27,130.67,15.1,yt02,0.7,Neutral Standing,,160.9,True,5.46,35.36
11.15,2.0,52.62,,yt02_003300.jpg,52.62,112.21,114.25,True,165.22,118.38,12.1,yt02,0.7,Neutral Standing,,141.49,True,2.33,38.63
12.27,2.0,50.68,,yt02_003350.jpg,50.68,133.14,108.81,True,151.17,93.99,19.35,yt02,0.7,Neutral Standing,,132.24,True,0.4,66.37
11.66,2.0,49.79,,yt02_003400.jpg,49.79,81.82,106.05,True,163.27,96.52,13.91,yt02,0.7,Neutral Standing,,137.83,True,1.67,62.25
11.66,2.0,49.92,,yt02_003450.jpg,49.92,132.93,92.01,True,160.19,100.04,15.45,yt02,0.7,Neutral Standing,,138.37,True,2.06,55.81
