source,sample_id,neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,label
multiposture,multiposture_4341,3.8246,1.2921,6.5791,2.5469,15.0227,0.9787,HIGH
multiposture,multiposture_4342,3.9732,1.3709,6.6519,2.5266,14.5427,1.0798,MEDIUM
multiposture,multiposture_4343,0.9258,1.0936,14.3553,7.0378,15.4863,1.9984,HIGH
multiposture,multiposture_4344,2.2339,0.0166,12.8503,7.0088,16.3403,1.21,HIGH
multiposture,multiposture_4345,1.2695,1.1499,10.8887,7.6269,17.3769,3.2617,HIGH
multiposture,multiposture_4346,1.5628,1.522,10.3875,7.3117,17.9989,4.2386,HIGH
multiposture,multiposture_4347,1.3893,1.4007,9.9042,7.1806,18.1137,3.8715,HIGH
multiposture,multiposture_4348,9.585,1.7673,8.7215,8.1329,18.1575,8.9251,HIGH
multiposture,multiposture_4349,8.3821,1.7344,8.6296,7.9293,18.73,8.158,HIGH
multiposture,multiposture_4350,7.8756,1.7194,8.5605,7.9437,18.9248,7.8454,HIGH
multiposture,multiposture_4351,5.2979,1.6941,8.5343,7.9683,19.073,6.4457,HIGH
multiposture,multiposture_4352,2.7214,1.5237,8.3237,7.6075,18.9421,4.7681,HIGH
multiposture,multiposture_4353,1.9584,1.4961,8.2697,7.5977,18.9301,4.3266,HIGH
multiposture,multiposture_4354,1.1704,1.44,8.2495,7.6006,18.9411,3.8071,HIGH
multiposture,multiposture_4355,0.8148,1.4196,8.2338,7.672,18.9255,3.5837,HIGH
multiposture,multiposture_4356,0.7176,1.3973,8.2016,7.6784,18.9055,3.4848,HIGH
multiposture,multiposture_4357,0.6136,1.4021,8.0974,7.6673,18.7808,3.4396,HIGH
multiposture,multiposture_4358,0.2989,1.4573,7.9357,7.2495,18.7463,3.4056,HIGH
multiposture,multiposture_4359,0.1767,1.5638,7.8118,6.9402,18.7978,3.4077,HIGH
multiposture,multiposture_4360,0.3583,1.5841,7.8144,6.7975,18.8295,3.3644,HIGH
multiposture,multiposture_4361,0.3899,1.5769,7.7288,6.633,18.7507,3.3348,HIGH
multiposture,multiposture_4362,0.5255,1.5547,7.7394,6.7225,18.4749,3.2211,HIGH
multiposture,multiposture_4363,0.6265,1.5435,7.6801,6.9814,18.4168,3.1457,HIGH
multiposture,multiposture_4364,2.8314,1.4473,7.8297,6.7737,18.022,1.8468,HIGH
multiposture,multiposture_4365,3.7338,1.2885,7.8975,6.5844,17.6725,1.0479,HIGH
multiposture,multiposture_4366,3.8928,1.2769,7.9866,6.5556,17.5699,0.9476,HIGH
multiposture,multiposture_4367,4.6401,1.1214,7.9221,6.6416,17.4056,0.233,HIGH
multiposture,multiposture_4368,4.6228,1.1267,7.8891,6.5371,17.4175,0.2526,HIGH
multiposture,multiposture_4369,3.6487,1.1388,7.8614,6.5275,17.4027,0.7546,HIGH
multiposture,multiposture_4370,3.4013,1.1045,7.8507,6.635,17.3571,0.7994,HIGH
multiposture,multiposture_4371,3.046,1.1331,7.9347,6.6598,17.3405,1.0382,HIGH
multiposture,multiposture_4372,3.2264,1.1992,8.0998,6.6716,17.1137,1.1145,HIGH
multiposture,multiposture_4373,13.5531,20.0836,37.2732,28.8821,29.1007,36.7417,HIGH
multiposture,multiposture_4374,17.9593,21.0452,36.7915,28.7551,30.1828,37.069,HIGH
multiposture,multiposture_4375,19.7064,21.4224,36.922,29.9212,30.0822,37.1838,HIGH
multiposture,multiposture_4376,21.3627,21.7838,36.8321,30.8245,29.6371,37.2762,HIGH
multiposture,multiposture_4377,14.6911,22.0293,35.937,30.622,30.2087,40.425,HIGH
multiposture,multiposture_4378,14.3946,22.3572,35.5188,31.114,30.3878,41.1916,HIGH
multiposture,multiposture_4379,15.2403,22.5758,36.3459,31.3672,32.0502,41.2995,HIGH
multiposture,multiposture_4380,15.7582,22.6183,36.28,31.4789,32.2053,41.1784,HIGH
multiposture,multiposture_4381,15.8037,22.6079,35.9416,31.3519,32.2407,41.1451,HIGH
multiposture,multiposture_4382,16.0107,22.704,36.2749,31.5448,32.6035,41.2711,HIGH
multiposture,multiposture_4383,16.1676,22.9486,36.1482,30.9396,32.7496,41.708,HIGH
multiposture,multiposture_4384,16.502,23.062,36.1246,31.2308,32.4591,41.8343,HIGH
multiposture,multiposture_4385,17.808,23.2565,36.4565,31.4334,32.5921,41.6959,HIGH
multiposture,multiposture_4386,18.0328,23.2852,36.4505,31.8295,32.5893,41.6648,HIGH
multiposture,multiposture_4387,18.84,23.2606,36.4748,31.8534,32.6214,41.2928,HIGH
multiposture,multiposture_4388,16.3712,23.3686,36.2733,31.736,32.6536,42.53,HIGH
multiposture,multiposture_4389,16.2969,23.3669,36.2835,31.6901,32.8612,42.5589,HIGH
multiposture,multiposture_4390,16.7276,23.6334,36.285,31.3906,32.9817,42.9059,HIGH
multiposture,multiposture_4391,16.7434,23.6384,36.289,31.4299,32.9016,42.9253,HIGH
multiposture,multiposture_4392,18.2045,23.6497,36.2392,31.455,32.8324,42.351,HIGH
multiposture,multiposture_4393,19.5062,23.5067,36.1711,31.6535,32.8088,41.528,HIGH
multiposture,multiposture_4394,20.7528,23.2844,36.0892,31.5875,32.8884,40.5659,HIGH
multiposture,multiposture_4395,21.2328,23.074,36.1466,31.2637,32.5932,39.9433,HIGH
multiposture,multiposture_4396,23.9654,23.2895,37.3648,31.5058,34.3178,39.2575,HIGH
multiposture,multiposture_4397,27.0448,23.5053,38.6898,32.0832,35.7354,38.404,HIGH
multiposture,multiposture_4398,29.0811,23.5944,39.2428,32.3975,36.1974,37.7063,HIGH
multiposture,multiposture_4399,27.6083,23.595,39.6642,32.2914,36.1469,38.351,HIGH
multiposture,multiposture_4400,25.2437,23.5625,39.5199,32.1864,36.0693,39.2788,HIGH
multiposture,multiposture_4401,24.0162,23.5959,39.4409,31.9571,36.2465,39.8575,HIGH
multiposture,multiposture_4402,22.9566,23.6142,39.3124,31.9129,36.1382,40.3247,HIGH
multiposture,multiposture_4403,16.0715,11.5102,34.8768,20.3794,10.5263,17.9487,MEDIUM
multiposture,multiposture_4404,15.2428,11.6463,35.0082,20.0589,10.6871,18.6148,MEDIUM
multiposture,multiposture_4405,14.7467,11.6812,35.4808,19.7315,10.6403,18.912,MEDIUM
